haralick01,haralick02,haralick03,haralick04,haralick05,haralick06,haralick07,haralick08,haralick09,haralick10,haralick11,haralick12,haralick13,area,perimetro,'desvio padrao',mediana,curtose,variância,lacunaridade,'dimensao fractal','sucolaridade de cima para baixo','sucolaridade da direita para a esquerda','sucolaridade de baixo para cima','sucolaridade da esquerda para a direita',lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,lbp13,lbp14,lbp15,lbp16,lbp17,lbp18,lbp19,lbp20,lbp21,lbp22,lbp23,lbp24,lbp25,lbp26,lbp27,lbp28,lbp29,lbp30,lbp31,lbp32,lbp33,lbp34,lbp35,lbp36,lbp37,lbp38,lbp39,lbp40,lbp41,lbp42,lbp43,lbp44,lbp45,lbp46,lbp47,lbp48,lbp49,lbp50,lbp51,lbp52,lbp53,lbp54,lbp55,lbp56,lbp57,lbp58,lbp59,classe
0.001062,64.072519,0.919518,399.871147,0.228158,246.187224,1535.412071,7.216551,10.463313,0.000445,3.841825,-0.332034,0.991409,3969,252,20.408225,123,1.312224,0.165784,0.106735,1.672127,0.005651,0.000484,0.000003,0.003798,0.109927,0.043304,0.007328,0.021319,0.041306,0.001332,0.021985,0.073284,0.009327,0.002665,0,0.001332,0.025316,0.001332,0.055296,0.092605,0.0493,0.015323,0.001999,0.003331,0.002665,0,0.001332,0.003997,0.027981,0.001332,0.001332,0.004664,0.068621,0.007995,0.143238,0.064624,0.007328,0.001999,0,0.000666,0.001999,0,0,0.001332,0,0,0,0,0.000666,0,0.000666,0.000666,0.033977,0.004664,0.000666,0.002665,0.001332,0.000666,0.001332,0.003997,0.027981,0.000666,0.001332,Colin_Powell
0.000423,161.956271,0.90912,892.041162,0.134989,253.449148,3406.208377,7.830215,11.581551,0.000238,4.60844,-0.321645,0.993754,3969,252,29.966236,126,-0.283795,0.236345,0.09961,1.773927,0.005822,0.000458,0.008117,0.004255,0.125994,0.028135,0.015291,0.025688,0.029969,0.001223,0.022018,0.043425,0.010398,0.001835,0.000612,0.002446,0.029969,0.001835,0.064832,0.081346,0.058716,0.011009,0.001223,0.004281,0.00367,0,0.001223,0.002446,0.035474,0.006116,0.000612,0.003058,0.100917,0.00367,0.12844,0.058104,0.017737,0.004281,0,0.001223,0.001223,0.000612,0.000612,0.001223,0,0,0,0,0.001223,0.000612,0.003058,0.000612,0.019572,0.005505,0.000612,0,0.005505,0,0.001223,0,0.027523,0.001835,0.001835,Colin_Powell
0.000413,294.991173,0.892647,1373.804801,0.132612,309.101985,5200.228033,7.969862,11.66704,0.0002,4.914373,-0.342691,0.995769,3969,252,37.14754,162,0.523004,0.240921,0.105507,1.695547,0.016383,0.016084,0.015889,0.016637,0.128949,0.039329,0.009026,0.028369,0.032237,0.004513,0.03675,0.073501,0.020632,0.004513,0.002579,0.001289,0.023856,0.002579,0.054803,0.121857,0.041908,0.019342,0.003868,0.002579,0.001289,0.000645,0.003868,0.005158,0.027724,0.004513,0.001289,0.003224,0.047066,0.001289,0.097357,0.065764,0.007737,0.001934,0.000645,0,0.000645,0,0,0.002579,0.001289,0,0,0,0.000645,0,0,0.001289,0.023856,0.008382,0.000645,0.001289,0.002579,0,0.003868,0.001289,0.02579,0.001289,0.002579,Colin_Powell
0.000486,113.810793,0.944107,1019.071923,0.165681,219.59141,3962.476898,7.889131,11.417023,0.000338,4.361158,-0.354878,0.996154,3969,252,32.075248,113,-0.567163,0.291242,0.101851,1.610656,0.002288,0.000949,0.000858,0.001683,0.099553,0.044033,0.008934,0.03829,0.039566,0.001914,0.03829,0.068922,0.013401,0.003829,0.001276,0.002553,0.029355,0.003829,0.047224,0.186981,0.035737,0.013401,0.000638,0.005105,0.001914,0,0.003829,0.000638,0.026803,0.005105,0.000638,0.001914,0.040204,0.003829,0.080408,0.082961,0.007658,0.000638,0.001914,0,0.003191,0,0,0.001276,0,0,0,0,0.001276,0,0.001276,0.000638,0.01723,0.007658,0,0,0.001914,0.000638,0.001914,0,0.019783,0.001276,0.000638,Colin_Powell
0.000698,83.065845,0.935373,645.371599,0.173545,265.529676,2498.420552,7.519303,10.978935,0.000338,4.1433,-0.330001,0.99292,3969,252,25.963577,133,3.450487,0.196128,0.10124,1.756867,0.008722,0.006852,0.010352,0,0.105417,0.041728,0.004392,0.043924,0.040996,0.002196,0.037335,0.103221,0.006589,0.000732,0.000732,0.000732,0.037335,0.002196,0.057833,0.071742,0.043192,0.010249,0,0.005124,0,0,0.002196,0.002928,0.034407,0.004392,0.000732,0.002196,0.080527,0.004392,0.094436,0.049048,0.010249,0.001464,0,0.000732,0.002196,0,0.000732,0.000732,0,0,0,0,0,0,0.000732,0.000732,0.037335,0.00366,0.000732,0.002196,0.000732,0,0.002196,0.001464,0.036603,0.004392,0.002196,Colin_Powell
0.000259,287.822226,0.943005,2526.703193,0.108955,277.147508,9818.990548,8.509279,12.163729,0.000154,5.009284,-0.394596,0.998685,3969,252,50.222953,136,-0.899325,0.362985,0.103626,1.723269,0.00893,0.012496,0,0.00943,0.081761,0.041738,0.004002,0.026301,0.007433,0.001715,0.01944,0.050886,0.010292,0.001715,0.001715,0.003431,0.026872,0.003431,0.080046,0.171527,0.034305,0.009148,0,0.000572,0.001715,0.000572,0.001144,0.002287,0.037736,0.003431,0.000572,0.000572,0.066324,0.002287,0.132647,0.092624,0.011435,0.001715,0.000572,0.001144,0.002859,0,0.001715,0.000572,0,0,0,0,0,0,0.001144,0.000572,0.018868,0.001715,0.000572,0.000572,0.001144,0,0.001144,0.001715,0.03259,0.001144,0.000572,Colin_Powell
0.000549,146.331399,0.937201,1166.546131,0.166164,205.434074,4519.853125,7.944958,11.424145,0.000293,4.463115,-0.369625,0.996999,3969,252,34.391312,98,0.243129,0.335268,0.106255,1.558883,0.001587,0.001115,0,0.000001,0.102896,0.049291,0.014787,0.025878,0.022797,0.002465,0.0191,0.097967,0.003697,0.001848,0,0.001232,0.024646,0.002465,0.070856,0.154652,0.039433,0.011707,0.006161,0.005545,0.002465,0.000616,0.001232,0.004313,0.012939,0.001232,0.001232,0.001232,0.044362,0.001848,0.133703,0.080099,0.009858,0.003081,0.001232,0.000616,0.001848,0,0.001232,0.001232,0,0,0,0,0.001232,0,0,0.001232,0.011707,0.002465,0.000616,0,0.000616,0,0,0.000616,0.017868,0.001232,0.000616,Colin_Powell
0.000691,100.603006,0.901716,512.794237,0.171167,316.4719,1950.573941,7.395656,10.941159,0.000324,4.231127,-0.303867,0.989293,3969,252,22.912561,158,1.669757,0.145053,0.099969,1.521807,0.018995,0.018715,0.018238,0.018618,0.112772,0.045516,0.01087,0.039402,0.029212,0.000679,0.026495,0.071332,0.007473,0.002038,0.000679,0.002038,0.023777,0.001359,0.050272,0.125679,0.030571,0.01019,0.004076,0.002717,0.002038,0.000679,0.001359,0.000679,0.04212,0.008832,0.000679,0.002038,0.077446,0.002717,0.105978,0.057745,0.008832,0.000679,0,0,0.002038,0,0.000679,0,0,0,0,0,0.000679,0,0.001359,0.004076,0.032609,0.001359,0.002038,0,0.002717,0,0.002038,0,0.033967,0.002038,0.005435,Colin_Powell
0.000396,186.854889,0.947774,1791.914079,0.147114,222.139424,6980.801427,8.220805,11.73784,0.000232,4.674873,-0.387887,0.998118,3969,252,42.704044,115,-0.119318,0.385856,0.105933,1.659914,0.002207,0.00094,0.000005,0,0.08303,0.038182,0.005455,0.016364,0.02303,0.001212,0.016364,0.055152,0.008485,0.001818,0.000606,0.002424,0.01697,0.00303,0.075152,0.12,0.047879,0.024242,0.001212,0.004242,0.001212,0,0.001818,0.002424,0.021818,0.003636,0.001212,0.001212,0.08303,0.002424,0.185455,0.086061,0.009091,0.001212,0,0.000606,0.001212,0,0,0.002424,0,0,0,0,0.000606,0,0,0.000606,0.015152,0.00303,0.001818,0.001212,0.002424,0,0,0,0.024848,0,0.000606,Colin_Powell
0.000324,255.78073,0.925753,1725.605258,0.118791,227.340608,6646.640303,8.251403,11.909166,0.000193,4.846906,-0.3749,0.997866,3969,252,41.898987,114,-0.159416,0.369518,0.102748,1.711239,0.00419,0.004528,0.000018,0,0.137366,0.042848,0.011972,0.019534,0.024575,0.00126,0.020164,0.070573,0.011342,0.003151,0.00189,0.00189,0.025835,0.005041,0.069313,0.116572,0.05293,0.010712,0.00063,0.003151,0.003151,0,0.003151,0.003151,0.021424,0.003781,0.00252,0.00189,0.05293,0.00252,0.108381,0.074984,0.016383,0.00126,0.00063,0.00252,0.00126,0,0.00189,0.00189,0.00189,0,0,0.00063,0.003151,0,0.00126,0.00063,0.015753,0.00189,0.00063,0.00063,0.005041,0,0.00063,0.003781,0.027095,0.00063,0.00189,Colin_Powell
